gene	exp_rep3.exon	exp_rep2.exon	control_rep2.exon	exp_rep1.exon	control_rep1.exon	control_rep3.exon
ENSG00000221340.1	1	1	1	1	1	2
ENSG00000276830.1	0	1	0	0	0	1
ENSG00000288927.2	45	33	43	52	53	44
ENSG00000272482.2	5	4	9	7	10	14
ENSG00000204518.3	0	0	3	0	1	0
ENSG00000226166.2	0	0	0	0	0	0
ENSG00000188984.12	0	4	0	6	0	0
ENSG00000157330.10	31	27	33	32	43	56
ENSG00000116726.5	6	11	8	5	5	6
ENSG00000116721.9	1	1	1	2	2	1
ENSG00000228338.1	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	0	1
ENSG00000231103.2	0	0	0	0	0	0
ENSG00000179172.10	21	13	10	10	8	15
ENSG00000120952.4	1	0	0	3	0	0
ENSG00000243073.4	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0
ENSG00000204510.6	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0
ENSG00000274178.2	0	0	1	1	0	0
ENSG00000274764.6	0	0	0	0	0	0
ENSG00000277058.3	1	1	0	1	3	1
ENSG00000229571.7	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0
ENSG00000275774.3	0	0	1	0	1	2
ENSG00000229978.2	0	0	0	0	0	0
ENSG00000290772.1	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0
ENSG00000280267.7	0	0	0	0	0	0
ENSG00000179412.11	8	7	8	6	4	4
ENSG00000204505.5	0	0	0	0	0	0
ENSG00000279169.3	0	0	0	0	1	0
ENSG00000279804.3	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0
ENSG00000270601.5	0	0	0	0	1	0
ENSG00000231219.1	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0
ENSG00000182330.11	0	0	0	0	2	0
ENSG00000237700.2	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0
ENSG00000204481.8	0	3	0	1	3	2
ENSG00000204480.9	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0
ENSG00000204478.11	0	0	0	3	0	0
ENSG00000162494.6	96	69	88	74	126	133
ENSG00000259961.1	0	1	0	0	0	1
ENSG00000215909.3	0	0	0	0	1	0
ENSG00000162493.17	1424	757	1192	615	1390	1633
ENSG00000222952.1	0	0	0	0	0	0
ENSG00000237445.2	0	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0
ENSG00000116731.23	3971	4852	3601	4685	4244	4963
ENSG00000289380.1	0	1	0	1	1	0
ENSG00000189337.17	1009	937	738	840	922	1205
ENSG00000252151.1	0	0	0	0	0	0
ENSG00000231606.2	0	1	0	0	0	0
ENSG00000234593.3	0	0	0	0	0	0
ENSG00000235829.1	0	0	0	0	0	0
ENSG00000287756.1	0	0	0	0	0	0
ENSG00000175147.13	48	91	48	63	68	86
ENSG00000171729.14	1363	1609	1056	1486	1301	1568
ENSG00000204464.7	0	0	2	0	0	1
ENSG00000215720.4	0	0	0	1	0	1
ENSG00000278480.1	2	4	2	1	4	1
ENSG00000142621.21	274	260	234	239	255	287
ENSG00000233485.1	0	1	0	0	0	0
ENSG00000236045.1	7	7	3	4	6	7
ENSG00000228140.2	9	13	4	4	11	10
ENSG00000142634.13	2004	1598	1524	1571	1600	2139
ENSG00000162438.12	0	0	0	0	0	0
ENSG00000142615.8	1	1	0	3	2	1
ENSG00000215704.10	15	7	4	11	3	5
ENSG00000132906.18	1222	1216	983	1123	1110	1407
ENSG00000116138.13	2637	3260	2186	3133	2873	3322
ENSG00000251866.1	0	0	0	0	1	0
ENSG00000272510.1	1	0	0	1	3	0
ENSG00000116771.6	813	751	710	830	756	1010
ENSG00000237301.1	5	8	2	5	6	9
ENSG00000235084.3	20	11	11	10	11	9
ENSG00000252417.1	0	0	0	0	0	0
ENSG00000236500.1	0	0	0	0	0	0
ENSG00000197312.13	4694	6689	4638	6243	5857	6623
ENSG00000215695.2	1	0	0	1	0	0
ENSG00000271742.1	1	0	0	0	0	1
ENSG00000116786.13	5797	5097	4721	4835	5118	6563
ENSG00000237938.5	1	3	2	11	6	9
ENSG00000162461.8	18	20	5	10	18	24
ENSG00000224459.2	0	0	0	0	0	0
ENSG00000162460.7	83	74	51	63	60	85
ENSG00000162458.13	11611	11879	8750	11407	9885	12388
ENSG00000224321.1	41	33	22	24	16	39
ENSG00000233954.7	1226	1168	798	980	914	1065
ENSG00000178715.8	83	75	49	49	49	58
ENSG00000179743.4	198	191	199	195	217	223
ENSG00000065526.13	7958	9807	7941	9815	9181	10549
ENSG00000270620.1	0	0	0	0	1	0
ENSG00000116809.12	2325	2042	1789	1977	1915	2649
ENSG00000234607.2	0	0	0	0	0	0
ENSG00000231353.1	0	0	0	0	0	0
ENSG00000275503.1	0	0	0	0	0	0
ENSG00000224966.4	0	0	0	0	0	0
ENSG00000183888.4	1	2	0	2	1	2
ENSG00000233078.1	0	0	0	0	0	0
ENSG00000173641.18	61	99	15	67	54	37
ENSG00000186510.12	20	10	19	15	7	21
ENSG00000232456.1	10	5	7	4	9	13
ENSG00000184908.20	60	52	52	41	49	81
ENSG00000185519.9	129	62	66	55	98	99
ENSG00000142627.13	15796	16673	9582	15750	10758	13499
ENSG00000227959.2	23	27	18	16	19	14
ENSG00000224621.1	5	12	12	24	7	16
